"","No_Reads","On_Target_Reads","On_Target_Percentage","NPY_Reads","SATB2_Reads","HMX2_Reads","FERD3L_Reads","C9orf125_Reads","GHSR2F_Reads","PLD52F_Reads","CG752F_Reads","CG2452F_Reads","CG1002F_Reads","CG2611F_Reads","CG242F_Reads","LINC_Reads","CPNE8_Reads","ROPN1B_Reads","APBB2_Reads","NPY_Conversion","SATB2_Conversion","HMX2_Conversion","FERD3L_Conversion","C9orf125_Conversion","GHSR2F_Conversion","PLD52F_Conversion","CG752F_Conversion","CG2452F_Conversion","CG1002F_Conversion","CG2611F_Conversion","CG242F_Conversion","LINC_Conversion","CPNE8_Conversion","ROPN1B_Conversion","APBB2_Conversion","NPY_Methylation","SATB2_Methylation","HMX2_Methylation","FERD3L_Methylation","C9orf125_Methylation","GHSR2F_Methylation","PLD52F_Methylation","CG752F_Methylation","CG2452F_Methylation","CG1002F_Methylation","CG2611F_Methylation","CG242F_Methylation","LINC_Methylation","CPNE8_Methylation","ROPN1B_Methylation","APBB2_Methylation"
"1_S1",1628532,1365869,83.87117968821,110503,35026,53915,47678,102117,80291,55120,39259,137824,82702,137070,92500,117204,112765,125316,36579,0.997087380680662,0.994946955223636,0.996476778081559,0.995605772720626,0.997065330151255,0.991815479057451,0.987746296088016,0.994360790589297,0.976083214029326,0.990046587300457,0.989235057865267,0.988299574829864,0.982248396320774,0.979955348770873,0.997109557789252,0.98790252893997,0.0674050343933303,0.799367193252238,0.0443352823969067,0.906347792846456,0.0698919655287399,0.0399936592344885,0.0949444136467503,0.0596868070254879,0.0499685373651569,0.0301135886063763,0.0221937996133616,0.116306401514923,0.0103904126442561,0.79531873657713,0.018543646860225,0.0131021902550368
"2_S2",1787673,1520907,85.0774722222688,112280,38956,48970,63653,81095,182004,55992,39572,145641,77995,174481,98778,120842,142575,95357,42716,0.990185982562539,0.993376424454404,0.991263221415823,0.988768785295168,0.98923371944635,0.993848910383346,0.991205765362566,0.990707109745568,0.995797838843819,0.99466185145398,0.991192114783724,0.993709632391117,0.987127093834909,0.985113395099456,0.987768360617829,0.990162955182749,0.384171227294465,0.0800796577796493,0.0528210925215108,0.32196311607126,0.0731520174520172,0.480567430259679,0.275866604295317,0.357957296268188,0.0290158408521403,0.0163950855180381,0.276526297216909,0.092826419031701,0.630728786829945,0.386320673621956,0.0344083773448981,0.680995997417473
"3_S3",1540936,1303905,84.6177258497433,90691,47321,45786,54843,99139,142292,49255,34635,126133,78570,132556,83620,114126,106344,69334,29260,0.991496550370036,0.991959167089782,0.989158852136623,0.992320312243837,0.996229970256632,0.992880265623486,0.990910080657921,0.991926037938546,0.993159109325889,0.993032575064248,0.990927914702876,0.993080510528093,0.995250624860466,0.99168137118254,0.996454918348945,0.995787364846966,0.485734876403646,0.238054847542301,0.175060584052295,0.580936569977106,0.419704783014014,0.125795193305339,0.204240584822083,0.198857975851555,0.0719086268013607,0.0173657025469962,0.0884580273969402,0.096302087214255,0.229363770134023,0.0557495348930261,0.525883256436373,0.228182715945081
"4_S4",1670821,1429407,85.5511751408439,107939,31465,39295,56340,67079,161162,62611,41632,119539,80685,147282,86659,138361,119880,133624,35854,0.990495948065499,0.98952936915687,0.993388121185952,0.989422184305625,0.992944568352882,0.993470136509901,0.988414334495626,0.990908740050616,0.9935924838624,0.993241439496981,0.993659855603149,0.993632044176585,0.997047199292524,0.997094924674489,0.995903780084794,0.996551532635232,0.171313785857215,0.22985395278015,0.256467986573294,0.253006186543184,0.111155504569021,0.216452427747886,0.343179316366254,0.329117137872319,0.0622714567127172,0.0627237621736334,0.149795745225178,0.180234602095885,0.129190505704071,0.0142112523381594,0.875756740988803,0.601002306269166
